tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
535,10320,8070,35,10,True,0,9,8,25,tile_535.gb
536,7450,5200,35,11,False,0,4,3,16,tile_536.gb
537,9250,7000,35,12,True,0,6,6,20,tile_537.gb
538,8878,6628,35,13,True,0,4,4,16,tile_538.gb
539,10022,7772,35,14,True,0,9,8,25,tile_539.gb
540,8250,6000,36,0,True,0,7,8,23,tile_540.gb
541,9250,7000,36,1,True,0,9,9,26,tile_541.gb
542,8686,6436,36,2,True,0,5,5,18,tile_542.gb
543,8873,6623,36,3,False,0,5,5,19,tile_543.gb
544,9359,7109,36,4,True,0,6,5,19,tile_544.gb
545,9518,7268,36,5,True,0,6,5,19,tile_545.gb
546,9239,6989,36,6,True,0,4,3,15,tile_546.gb
547,9536,7286,36,7,False,1,6,6,21,tile_547.gb
548,8250,6000,36,8,True,0,7,7,22,tile_548.gb
549,8364,6114,36,9,False,0,4,4,17,tile_549.gb
550,8527,6277,36,10,True,0,7,6,21,tile_550.gb
551,9284,7034,36,11,True,0,10,11,29,tile_551.gb
552,9055,6805,36,12,False,0,8,8,25,tile_552.gb
553,9654,7404,36,13,False,1,7,6,23,tile_553.gb
554,8804,6554,36,14,True,0,8,7,23,tile_554.gb
555,10268,8018,37,0,True,0,9,10,27,tile_555.gb
556,9400,7150,37,1,True,0,6,5,19,tile_556.gb
557,8180,5930,37,2,False,0,4,3,16,tile_557.gb
558,9265,7015,37,3,True,0,6,9,23,tile_558.gb
559,9250,7000,37,4,False,0,8,7,24,tile_559.gb
560,9153,6903,37,5,True,0,9,8,25,tile_560.gb
561,9072,6822,37,6,True,0,7,6,21,tile_561.gb
562,8296,6046,37,7,True,0,10,8,26,tile_562.gb
563,9383,7133,37,8,True,0,8,7,23,tile_563.gb
564,9250,7000,37,9,True,0,10,10,28,tile_564.gb
565,9250,7000,37,10,False,1,8,7,25,tile_565.gb
566,8817,6567,37,11,True,0,6,5,19,tile_566.gb
567,9543,7293,37,12,False,1,5,4,18,tile_567.gb
568,8694,6444,37,13,False,1,8,9,26,tile_568.gb
569,8472,6222,37,14,True,0,5,5,18,tile_569.gb
570,8732,6482,38,0,True,0,9,9,26,tile_570.gb
571,8320,6070,38,1,True,0,8,8,24,tile_571.gb
572,8496,6246,38,2,True,0,7,7,22,tile_572.gb
573,9988,7738,38,3,False,1,9,8,26,tile_573.gb
574,9411,7161,38,4,True,0,7,6,21,tile_574.gb
575,8250,6000,38,5,True,0,8,7,23,tile_575.gb
576,9147,6897,38,6,True,0,8,7,23,tile_576.gb
577,9252,7002,38,7,True,0,8,7,23,tile_577.gb
578,8396,6146,38,8,True,0,6,5,19,tile_578.gb
579,9250,7000,38,9,True,0,6,5,19,tile_579.gb
580,9324,7074,38,10,True,0,10,9,27,tile_580.gb
581,7960,5710,38,11,True,0,6,5,19,tile_581.gb
582,11268,9018,38,12,False,1,8,8,25,tile_582.gb
583,9250,7000,38,13,False,1,5,8,22,tile_583.gb
584,9250,7000,38,14,False,3,6,10,27,tile_584.gb
585,8902,6652,39,0,False,2,6,6,22,tile_585.gb
586,8659,6409,39,1,False,1,5,5,20,tile_586.gb
587,8152,5902,39,2,False,1,7,6,22,tile_587.gb
588,12072,9822,39,3,False,0,10,9,28,tile_588.gb
589,8304,6054,39,4,False,1,5,8,22,tile_589.gb
590,9942,7692,39,5,False,2,6,6,22,tile_590.gb
591,8696,6446,39,6,True,0,9,8,25,tile_591.gb
592,9798,7548,39,7,True,0,10,9,27,tile_592.gb
593,9871,7621,39,8,True,0,8,7,23,tile_593.gb
594,8802,6552,39,9,False,0,7,7,23,tile_594.gb
595,9156,6906,39,10,False,1,9,8,26,tile_595.gb
596,9250,7000,39,11,True,0,6,6,20,tile_596.gb
597,8477,6227,39,12,False,2,3,7,20,tile_597.gb
598,10003,7753,39,13,True,0,7,6,21,tile_598.gb
599,8837,6587,39,14,True,0,8,9,25,tile_599.gb
600,9423,7173,40,0,True,0,6,6,20,tile_600.gb
601,9250,7000,40,1,True,0,6,5,19,tile_601.gb
602,10176,7926,40,2,True,0,10,9,27,tile_602.gb
603,9634,7384,40,3,True,0,7,6,21,tile_603.gb
604,9251,7001,40,4,True,0,7,6,21,tile_604.gb
605,9952,7702,40,5,True,0,8,7,23,tile_605.gb
606,9250,7000,40,6,True,0,8,8,24,tile_606.gb
607,9250,7000,40,7,False,1,10,9,28,tile_607.gb
608,10012,7762,40,8,True,0,9,8,25,tile_608.gb
609,8388,6138,40,9,False,0,7,6,22,tile_609.gb
610,9840,7590,40,10,False,1,5,4,18,tile_610.gb
611,8456,6206,40,11,True,0,6,5,19,tile_611.gb
612,8346,6096,40,12,True,0,7,6,21,tile_612.gb
613,8780,6530,40,13,True,0,4,3,15,tile_613.gb
614,8250,6000,40,14,True,0,6,6,20,tile_614.gb
615,9250,7000,41,0,False,1,6,6,21,tile_615.gb
616,8450,6200,41,1,False,2,3,6,19,tile_616.gb
617,9250,7000,41,2,True,0,9,12,29,tile_617.gb
618,10776,8526,41,3,False,0,3,2,14,tile_618.gb
619,8776,6526,41,4,True,0,8,8,24,tile_619.gb
